Item,Quantity_Sales,Amount_Sales,Quantity_Purchases,Amount_Purchases
BRITANNIA MILK BIKIS 300G 8901063012332,6.0,330.0,0,0
BRITANNIA VITA MARIE GOLD BIS 300G 8901063014152,5.0,225.0,0,0
BRITANNIA 50-50 SSWEET & SALT 150G 8901063016606,45.0,1350.0,0,0
BRITANNIA 50-50 SWEET AND SALTY 200 8901063016613,101.0,3535.0,0,0
BRITANNIA 50-50 MASKA CHASKA 120G 8901063017221,7.0,210.0,0,0
BRITANNIA 50-50 GOLMAAL 8901063017719,1.0,20.0,0,0
BRITANNIA 50-50 TIME PASS 150G 8901063018297,16.0,400.0,0,0
BRITANNIA MARIE GOLD 250G 8901063023901,11.0,440.0,0,0
BRITANNIA NUTRI CHOICE CRACKER 300 8901063026162,52.0,2600.0,0,0
BRITANNIA NICE TIME SUGAR SHOWERE 8901063028166,12.0,300.0,0,0
BRITAANNIA NICE TIME 8901063028210,3.0,30.0,0,0
BRITANNIA TREAT CROISSANT COCOA 4 8901063031920,1.0,20.0,0,0
BRITANNIA TREAT CROISSANT VANILLA 8901063031937,3.0,60.0,0,0
BRITANNIA TREAT BURST 120G,2.0,80.0,0,0
BRITANNIA MILK BIKIS CREAM 200G,7.0,350.0,12,546.48
BRITANNIA MILK BIKIS 55G,11.0,110.0,6,53.64
BRITANNIA MILK BIKIS 120G,7.0,210.0,18,487.44
BRITANNIA GOOD DAY CASHEW  200G,44.0,2200.0,40,"1,813.60"
BRITANNIA GOOD DAY PISTA,1.0,10.0,0,0
BRITANNIA GOOD DAY CASHEW FAMILY,7.0,910.0,20,"2,357.20"
BRITANNIA GOOD DAY 120G,2.0,50.0,0,0
BRITANNIA GOOD DAY PISTA BADAM 20,5.0,275.0,12,601.08
BRITANNIA THIN ARROWROOT BISCUIT,52.0,1820.0,39,"1,189.11"
BRITANNIA THIN ARROWROOT BISCUITS,125.0,6250.0,64,"2,787.20"
BRITANNIA BOUR BON 150G,16.0,640.0,12,437.16
BRITANNIA BOURBON 50G,7.0,70.0,0,0
BRITANNIA BOURBON 100G,14.0,350.0,0,0
BRITANNIA TIGER KRUNCH 72G,34.0,340.0,12,107.4
BRITANNIA TREAT CHOCO,14.0,140.0,12,109.32
