Sl,Item,Quantity,Amount
466,PARLE FAB BOURBON 8901719122279,3,120
467,PARLE MILANO CHOCO HAZELNUT 8901719125799,1,40
468,PARLE MILANO CHOCO FILLED DARK 8901719125812,1,40
469,PARLE G COOKIES 8901719125935,3,30
470,PARLE MELODY CHOCOLATE 195G 8901719220159,5,250
471,PARLE MELODY CHOCOLATE 391G 8901719220173,10,"1,000.00"
472,PARLE KACHA MANGO BITE 277G 8901719240393,2,100
473,SUNFEAST DARK FANTASY CHOCOCHIPS 8901725000936,5,150
474,SUNFEAST DREAM CREAM CHOCO 120G 8901725102555,1,20
475,SUNFEAST BOUNCE STRAWBERRY DREA 8901725102579,2,40
476,CANDYMAN FANTASTIK 8901725106607,1,5
477,SUNFEAST MARIE LIGHT 200G 8901725114916,28,700
478,SUNFEAST MARIE LIGHT ACTIVE 250G 8901725114947,12,480
479,SUNFEAST MARIE LIGHT VEDA 250G 8901725114985,8,320
480,CANDYMAN FANTASTIK 440G 8901725115784,2,400
481,BINGO HASHTAG CREM&ONION 8901725116729,11,110
482,YIPPEE MAGIC M  NOODLES 420G 8901725116729,2,164
483,YIPPEE MAGIC NOODLES135G 8901725116996,20,560
484,YIPPEE NOODILES 270G 8901725117092,13,728
485,BINGO NO RULZ 17.3 8901725117481,160,800
486,SUNFEAST BOUNCE ORANGE 8901725118747,16,160
487,SUNFEAST MOMS MAGIC CASHEW & ALM 8901725118747,22,"1,100.00"
488,SUNFEAST BOUNCE PINEAPPLE 78G 8901725118761,18,180
489,AASHIRVAD ATTA 1KG 8901725121747,19,"1,273.00"
490,SUNFEAST GLUCOSE BISCUITS 250G 8901725132170,1,25
491,SUNFEAST DARK FANTACY COFFEE FIL 8901725132866,2,80
492,SUNFEAST DARK FANTASY CHOCO FILLS 8901725132873,88,"3,520.00"
493,AASHIRVAD ATTA 2KG 8901725144104,3,390
494,CANDYMAN CHOCO ECLAIRS 380G 8901725144104,2,200
495,BINGO CREAM ONION 8901725194529,14,140
496,SPRITE 250ML GAN 8901764031250,2,80
497,SPRITE 750ML BOTTLE 8901764032271,50,"2,000.00"
498,SPRITE 2.25L BOTTLE 8901764032905,1,99
499,SPRITE 250ML  BOTTLE 8901764032912,40,800
500,CHARGED 20RS 8901764048319,7,140
501,LIMCA 750ML 8901764052705,1,40
502,MINUTE MAID PULPY ORANGE 250ML 8901764362804,1,25
503,RASNA INSTA 23G 8901848001124,45,225
504,AVT TEA POWDER 250G 8902042111060,2,160
505,AVT TEA POWDER 100G 8902042302017,2,66
506,TROPICANA APPLE 250ML 8902080000036,12,240
507,STING 250ML 8902080000227,25,500
508,STING 500ML 8902080001644,1,30
509,TROPICANNA GUAVA DELIGHT 200ML 8902080011261,24,480
510,TROPICANA GUAVA 1L 8902080013265,3,345
511,TROPICANA ORNGE 1L 8902080013296,2,240
512,PEPSI 750ML BOTTLE 8902080104055,34,"1,360.00"
513,PEPSI 2.25LIT BOTTLE 8902080104345,1,99
514,MIRINDA 250ML 8902080204021,4,80
515,MIRINDA 750ML 8902080204052,19,760
516,SEVEN UP 250 ML BOTTLE 8902080304028,7,140
517,SEVEN UP 750 ML BOTTLE 8902080304059,80,"3,200.00"
518,SEVEN UP 2.25LIT 8902080304349,1,99
519,MOUNTAIN DEW 750ML BOTTLE 8902080364053,29,"1,160.00"
520,SLICE 600ML 8902080404094,1,40
521,SLICE 1200ML 8902080404117,2,150
522,AQUAFINA WATER 500 ML 8902080504046,85,850
523,AQUAFINA  WATER 1 LIT 8902080504060,142,"2,840.00"
524,LEHAR SODA 750ML 8902080704057,161,"3,184.00"
525,LEHAR SODA 2 LIT 8902080704088,7,280
526,GRANDMAS PINEAPPLE JAM 100G 8902082803420,14,350
527,GRANDMAS MIXED FRUIT JAM 100G 8902082803437,12,300
528,GRANDMAS STRAWBERRY JAM 100G 8902082805080,1,35
529,GRANDMAS JAM COMBO PINE &  MIXED F 8902082806339,6,492
530,APPY FIZZ 600ML 8902579000004,5,175
531,APPY FIZZ 160ML 8902579000196,13,130
532,SMOODH CHOCOLATE MILK 85ML 8902579000912,1,10
533,FROOTI  300ML 8902579103057,1,20
534,FROOTI 600ML 8902579103170,1,40
535,APPY FIZZ CAN 250ML RED 8902579103415,3,105
536,FROOTI  160ML 8902579103415,27,270
537,APPY FIZZ 1LIT 8902579131036,1,60
538,MAA 160ML 8902979044561,235,"2,350.00"
539,CAVINS VANILLA MILKSHAKE 180ML 8902979052382,22,660
540,CAVINS CHOCOLATE SHAKE 180ML 8902979052399,81,"2,430.00"
541,CAVINS BUTTERSCOTCH MILKSHAKE 18 8902979052405,21,630
542,CAVINS STRABERRY MILKSHAKE 180ML 8902979052412,12,360
543,HALDIRAMS SALTED PEANUTS 200G 8904004404647,1,50
544,HALDIRAMS ORANGE SOAN PAPDI  250G 8904004405514,5,350
545,HALDIRAMS GULAB JAMUN500G 8904004405934,1,125
546,DOUBLE HORSE VERMICELLI KH MIX 8904011505115,5,400
547,MODERN FRUITY 200G 8904043551494,5,125
548,MODERN 100% WHOLE WHEET 400G 8904043551548,1,50
549,MODERN CLASSIC SWEET 500G 8904043551630,1,50
550,MODERN MILK PLUS 600G 8904043551678,2,110
551,MILMA GHEE 50ML 8904069900047,1,41
552,MILMA PANEER 200G 8904069900870,4,420
553,MILKY MIST CREAM 8904083300144,2,150
554,MILKY MIST CHEESE SLICES 100G 8904083310136,1,100
555,CREMICA FRENCH FRIES CLASSIC 70G 8904234195490,1,50
